"state","MormonPopulation2022","mormonPopulationPercofTotalPopulation2022"
"Alabama",39832,
"Alaska",33574,
"Arizona",439411,
"Arkansas",35405,
"California",728995,
"Colorado",148708,
"Connecticut",15838,
"Delaware",5613,
"Florida",168527,
"Georgia",89285,
"Hawaii",74952,
"Idaho",473894,
"Illinois",57015,
"Indiana",46823,
"Iowa",28697,
"Kansas",39356,
"Kentucky",37830,
"Louisiana",29727,
"Maine",11054,
"Maryland",43296,
"Massachusetts",28197,
"Michigan",45547,
"Minnesota",33365,
"Mississippi",22189,
"Missouri",77959,
"Montana",51715,
"Nebraska",25229,
"Nevada",181975,
"New Hampshire",8996,
"New Jersey",34536,
"New Mexico",69055,
"New York",84857,
"North Carolina",94018,
"North Dakota",11487,
"Ohio",63814,
"Oklahoma",51847,
"Oregon",150207,
"Pennsylvania",52193,
"Rhode Island",4351,
"South Carolina",44230,
"South Dakota",11494,
"Tennessee",57422,
"Texas",378281,
"Utah",2173560,
"Vermont",4631,
"Virginia",97449,
"Washington",281389,
"West Virginia",17294,
"Wisconsin",27943,
"Wyoming",67797,
